assembly_accession	organism_name	assembly_level	seq_rel_date	ftp_path
GCA_000177875.2	Mycobacterium tuberculosis SUMu007	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/875/GCA_000177875.2_ASM17787v2/
GCA_000177895.2	Mycobacterium tuberculosis SUMu008	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/895/GCA_000177895.2_ASM17789v2/
GCA_000177915.2	Mycobacterium tuberculosis SUMu009	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/915/GCA_000177915.2_ASM17791v2/
GCA_000177935.2	Mycobacterium tuberculosis SUMu010	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/935/GCA_000177935.2_ASM17793v2/
GCA_000177955.2	Mycobacterium tuberculosis SUMu011	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/955/GCA_000177955.2_ASM17795v2/
GCA_000177975.2	Mycobacterium tuberculosis SUMu012	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/975/GCA_000177975.2_ASM17797v2/
GCA_000184005.1	Mycobacterium tuberculosis HN878	Chromosome	2010-12-14	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/005/GCA_000184005.1_ASM18400v1/
GCA_000184025.1	Mycobacterium tuberculosis X122	Chromosome	2010-12-14	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/025/GCA_000184025.1_ASM18402v1/
GCA_000184045.1	Mycobacterium tuberculosis R1207	Chromosome	2010-12-14	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/045/GCA_000184045.1_ASM18404v1/
GCA_000190335.1	Mycobacterium tuberculosis CDC1551A	Scaffold	2011-02-23	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/335/GCA_000190335.1_MT_CDC1551A_V1/
GCA_000193185.2	Mycobacterium tuberculosis W-148	Complete Genome	2015-08-19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/185/GCA_000193185.2_ASM19318v2/
GCA_000194015.2	Mycobacterium tuberculosis variant bovis BCG str. China	Contig	2011-03-28	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/015/GCA_000194015.2_ASM19401v2/
GCA_000194035.2	Mycobacterium tuberculosis variant bovis BCG str. ATCC 35733	Contig	2011-03-28	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/035/GCA_000194035.2_ASM19403v2/
GCA_000194055.2	Mycobacterium tuberculosis variant bovis BCG str. ATCC 35740	Contig	2011-03-28	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/055/GCA_000194055.2_ASM19405v2/
GCA_000194075.3	Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743	Complete Genome	2014-03-14	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/075/GCA_000194075.3_ASM19407v3/
GCA_000195835.3	Mycobacterium tuberculosis variant bovis AF2122/97	Complete Genome	2017-01-19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/835/GCA_000195835.3_ASM19583v2/
GCA_000195955.2	Mycobacterium tuberculosis H37Rv	Complete Genome	2013-02-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2/
