assembly_accession	organism_name	assembly_level	seq_rel_date	ftp_path
GCA_000982795.1	Mycobacterium tuberculosis	Scaffold	2015-04-23	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/795/GCA_000982795.1_8080_8_14/
GCA_001017695.1	Mycobacterium tuberculosis	Contig	2015-06-02	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/017/695/GCA_001017695.1_ASM101769v1/
GCA_001043255.1	Mycobacterium tuberculosis variant bovis BCG	Complete Genome	2015-06-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/043/255/GCA_001043255.1_ASM104325v1/
GCA_001049395.1	Mycobacterium tuberculosis	Scaffold	2015-06-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/049/395/GCA_001049395.1_Aethiop_vetus_229/
GCA_001049415.1	Mycobacterium tuberculosis	Scaffold	2015-06-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/049/415/GCA_001049415.1_Assembly_230/
GCA_001049435.1	Mycobacterium tuberculosis	Scaffold	2015-06-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/049/435/GCA_001049435.1_Assembly_232/
GCA_001049455.1	Mycobacterium tuberculosis	Scaffold	2015-06-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/049/455/GCA_001049455.1_Assembly_233/
GCA_001049475.1	Mycobacterium tuberculosis	Scaffold	2015-06-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/049/475/GCA_001049475.1_Assembly_234/
GCA_001051255.1	Mycobacterium tuberculosis	Scaffold	2015-07-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/051/255/GCA_001051255.1_ASM105125v1/
GCA_001078615.1	Mycobacterium tuberculosis variant bovis	Complete Genome	2015-07-17	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/078/615/GCA_001078615.1_ASM107861v1/
GCA_001083085.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/083/085/GCA_001083085.1_7414_6_55/
GCA_001083565.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/083/565/GCA_001083565.1_8080_8_11/
GCA_001084845.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/084/845/GCA_001084845.1_6280_6_11/
GCA_001085125.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/085/125/GCA_001085125.1_7414_6_62/
GCA_001086825.1	Mycobacterium tuberculosis	Contig	2015-07-17	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/086/825/GCA_001086825.1_ASM108682v1/
GCA_001086845.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/086/845/GCA_001086845.1_4925_1_2/
GCA_001086985.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/086/985/GCA_001086985.1_8080_8_12/
GCA_001088145.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/088/145/GCA_001088145.1_4925_1_9/
GCA_001088225.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/088/225/GCA_001088225.1_7414_6_19/
GCA_001088285.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/088/285/GCA_001088285.1_6280_8_7/
GCA_001088465.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/088/465/GCA_001088465.1_7414_6_17/
GCA_001088665.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/088/665/GCA_001088665.1_9278_1_8/
GCA_001090285.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/090/285/GCA_001090285.1_6280_7_5/
GCA_001090305.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/090/305/GCA_001090305.1_9278_1_10/
GCA_001090405.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/090/405/GCA_001090405.1_7414_6_40/
GCA_001091605.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/091/605/GCA_001091605.1_6280_6_6/
GCA_001091965.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/091/965/GCA_001091965.1_8080_8_19/
GCA_001092505.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/092/505/GCA_001092505.1_7414_6_3/
GCA_001093225.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/093/225/GCA_001093225.1_7414_6_13/
GCA_001093985.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/093/985/GCA_001093985.1_4925_1_11/
GCA_001094405.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/094/405/GCA_001094405.1_7414_6_37/
GCA_001096245.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/096/245/GCA_001096245.1_6280_8_1/
GCA_001096785.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/096/785/GCA_001096785.1_6180_1_1/
GCA_001096945.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/096/945/GCA_001096945.1_7414_6_14/
GCA_001097325.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/097/325/GCA_001097325.1_8080_8_21/
GCA_001097745.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/097/745/GCA_001097745.1_6180_1_2/
GCA_001099065.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/099/065/GCA_001099065.1_8080_8_25/
GCA_001099745.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/099/745/GCA_001099745.1_8080_8_30/
GCA_001099945.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/099/945/GCA_001099945.1_6280_8_8/
GCA_001102605.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/102/605/GCA_001102605.1_7414_6_49/
GCA_001102685.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/102/685/GCA_001102685.1_8080_8_17/
GCA_001102705.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/102/705/GCA_001102705.1_7414_6_18/
GCA_001103285.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/103/285/GCA_001103285.1_6180_1_3/
GCA_001103985.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/103/985/GCA_001103985.1_8080_8_35/
GCA_001105365.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/105/365/GCA_001105365.1_4948_5_10/
GCA_001105885.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/105/885/GCA_001105885.1_6280_7_7/
GCA_001105945.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/105/945/GCA_001105945.1_8080_8_24/
GCA_001106545.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/106/545/GCA_001106545.1_6280_8_3/
GCA_001107145.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/107/145/GCA_001107145.1_7414_6_44/
GCA_001108845.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/108/845/GCA_001108845.1_4925_1_4/
GCA_001109345.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/109/345/GCA_001109345.1_7414_6_26/
GCA_001110005.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/110/005/GCA_001110005.1_6280_7_6/
GCA_001111525.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/111/525/GCA_001111525.1_7414_6_31/
GCA_001111885.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/111/885/GCA_001111885.1_8080_8_5/
GCA_001112325.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/112/325/GCA_001112325.1_8080_8_37/
GCA_001112865.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/112/865/GCA_001112865.1_4925_1_7/
GCA_001112945.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/112/945/GCA_001112945.1_4925_1_6/
GCA_001114085.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/114/085/GCA_001114085.1_8080_8_20/
GCA_001115905.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/115/905/GCA_001115905.1_7414_6_20/
GCA_001116025.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/116/025/GCA_001116025.1_7414_6_10/
GCA_001116745.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/116/745/GCA_001116745.1_4948_5_8/
GCA_001117725.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/117/725/GCA_001117725.1_7414_6_5/
GCA_001118545.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/118/545/GCA_001118545.1_6280_6_10/
GCA_001119505.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/119/505/GCA_001119505.1_7414_6_7/
GCA_001119665.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/119/665/GCA_001119665.1_6280_7_1/
GCA_001119945.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/119/945/GCA_001119945.1_6180_1_9/
GCA_001120965.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/120/965/GCA_001120965.1_6180_2_4/
GCA_001121325.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/121/325/GCA_001121325.1_6280_6_8/
GCA_001121545.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/121/545/GCA_001121545.1_8080_8_32/
GCA_001121985.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/121/985/GCA_001121985.1_6280_8_4/
GCA_001122345.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/122/345/GCA_001122345.1_7414_6_6/
GCA_001123765.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/123/765/GCA_001123765.1_8080_8_38/
GCA_001123785.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/123/785/GCA_001123785.1_6180_1_4/
GCA_001125745.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/125/745/GCA_001125745.1_7414_6_22/
GCA_001125785.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/125/785/GCA_001125785.1_7414_6_8/
GCA_001126925.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/126/925/GCA_001126925.1_6180_2_9/
GCA_001127945.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/127/945/GCA_001127945.1_6180_1_10/
GCA_001128125.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/128/125/GCA_001128125.1_6280_6_9/
GCA_001128725.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/128/725/GCA_001128725.1_4948_5_12/
GCA_001128805.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/128/805/GCA_001128805.1_8080_8_40/
GCA_001128865.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/128/865/GCA_001128865.1_7414_6_32/
GCA_001130685.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/130/685/GCA_001130685.1_7414_6_61/
GCA_001131705.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/131/705/GCA_001131705.1_7414_6_42/
GCA_001131785.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/131/785/GCA_001131785.1_8080_8_18/
GCA_001132305.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/132/305/GCA_001132305.1_6280_6_2/
GCA_001133005.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/133/005/GCA_001133005.1_4948_5_5/
GCA_001133325.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/133/325/GCA_001133325.1_6280_7_2/
GCA_001133345.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/133/345/GCA_001133345.1_7414_6_58/
GCA_001133985.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/133/985/GCA_001133985.1_7414_6_30/
GCA_001134265.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/134/265/GCA_001134265.1_7414_6_36/
GCA_001134885.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/134/885/GCA_001134885.1_4948_5_1/
GCA_001136885.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/136/885/GCA_001136885.1_8080_8_2/
GCA_001138485.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/138/485/GCA_001138485.1_7414_6_29/
GCA_001140405.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/140/405/GCA_001140405.1_6180_2_10/
GCA_001141505.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/141/505/GCA_001141505.1_6180_2_3/
GCA_001141625.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/141/625/GCA_001141625.1_8080_8_6/
GCA_001141705.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/141/705/GCA_001141705.1_8080_8_31/
GCA_001142645.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/142/645/GCA_001142645.1_7414_6_11/
GCA_001143165.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/143/165/GCA_001143165.1_7414_6_53/
GCA_001143545.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/143/545/GCA_001143545.1_7414_6_50/
GCA_001144025.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/144/025/GCA_001144025.1_8080_8_29/
GCA_001144065.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/144/065/GCA_001144065.1_4925_1_10/
GCA_001144145.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/144/145/GCA_001144145.1_7414_6_51/
GCA_001144605.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/144/605/GCA_001144605.1_7414_6_4/
GCA_001145765.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/145/765/GCA_001145765.1_8080_8_3/
GCA_001145965.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/145/965/GCA_001145965.1_4925_1_8/
GCA_001147025.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/147/025/GCA_001147025.1_8080_8_39/
GCA_001147145.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/147/145/GCA_001147145.1_6180_2_5/
GCA_001147745.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/147/745/GCA_001147745.1_7414_6_2/
GCA_001148065.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/148/065/GCA_001148065.1_6280_6_1/
GCA_001149285.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/149/285/GCA_001149285.1_6280_6_4/
GCA_001151565.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/151/565/GCA_001151565.1_7414_6_47/
GCA_001151685.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/151/685/GCA_001151685.1_7414_6_39/
GCA_001152945.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/152/945/GCA_001152945.1_7414_6_57/
GCA_001155105.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/155/105/GCA_001155105.1_8080_8_8/
GCA_001155525.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/155/525/GCA_001155525.1_6180_1_5/
GCA_001155865.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/155/865/GCA_001155865.1_7414_6_21/
GCA_001155985.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/155/985/GCA_001155985.1_6280_6_7/
GCA_001156445.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/156/445/GCA_001156445.1_7414_6_24/
GCA_001157085.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/157/085/GCA_001157085.1_7414_6_33/
GCA_001158445.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/158/445/GCA_001158445.1_6280_6_3/
GCA_001159945.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/159/945/GCA_001159945.1_8080_8_1/
GCA_001160225.1	Mycobacterium tuberculosis	Scaffold	2015-07-17	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/160/225/GCA_001160225.1_7414_6_1/
GCA_001160825.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/160/825/GCA_001160825.1_6180_2_2/
GCA_001162825.1	Mycobacterium tuberculosis	Scaffold	2015-07-18	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/162/825/GCA_001162825.1_5227_6_10/
GCA_001163125.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/163/125/GCA_001163125.1_6280_7_4/
GCA_001163485.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/163/485/GCA_001163485.1_7414_6_59/
GCA_001164205.1	Mycobacterium tuberculosis	Scaffold	2015-07-18	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/164/205/GCA_001164205.1_5237_5_5/
GCA_001164225.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/164/225/GCA_001164225.1_8080_8_4/
GCA_001165005.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/165/005/GCA_001165005.1_6280_6_5/
GCA_001165085.1	Mycobacterium tuberculosis	Scaffold	2015-07-18	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/165/085/GCA_001165085.1_5227_7_4/
GCA_001166245.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/166/245/GCA_001166245.1_7414_6_16/
GCA_001166845.1	Mycobacterium tuberculosis	Scaffold	2015-07-18	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/166/845/GCA_001166845.1_5227_7_6/
GCA_001166985.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/166/985/GCA_001166985.1_7414_6_25/
GCA_001167185.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/167/185/GCA_001167185.1_4925_1_1/
GCA_001168405.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/168/405/GCA_001168405.1_4925_1_5/
GCA_001168805.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/168/805/GCA_001168805.1_8080_8_36/
GCA_001169425.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/169/425/GCA_001169425.1_9278_1_11/
GCA_001169565.1	Mycobacterium tuberculosis	Contig	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/169/565/GCA_001169565.1_8080_8_27/
GCA_001169865.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/169/865/GCA_001169865.1_4948_5_9/
GCA_001170265.1	Mycobacterium tuberculosis	Scaffold	2015-07-18	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/170/265/GCA_001170265.1_5237_7_2/
GCA_001170685.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/170/685/GCA_001170685.1_4948_5_7/
GCA_001172005.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/172/005/GCA_001172005.1_8080_8_33/
GCA_001172585.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/172/585/GCA_001172585.1_6180_2_6/
GCA_001172865.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/172/865/GCA_001172865.1_7414_6_54/
GCA_001173105.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/173/105/GCA_001173105.1_7414_6_27/
GCA_001173265.1	Mycobacterium tuberculosis	Scaffold	2015-07-18	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/173/265/GCA_001173265.1_5227_5_1/
GCA_001174265.1	Mycobacterium tuberculosis	Scaffold	2015-07-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/174/265/GCA_001174265.1_7414_6_48/
GCA_001174865.1	Mycobacterium tuberculosis	Scaffold	2015-07-18	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/174/865/GCA_001174865.1_5227_5_3/
GCA_001183005.1	Mycobacterium tuberculosis	Contig	2015-07-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/183/005/GCA_001183005.1_ASM118300v1/
GCA_001183025.1	Mycobacterium tuberculosis	Contig	2015-07-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/183/025/GCA_001183025.1_ASM118302v1/
GCA_001183035.1	Mycobacterium tuberculosis	Contig	2015-07-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/183/035/GCA_001183035.1_ASM118303v1/
