accession	domain	phylum	class	order	family	genus	species
GB_GCA_023131215.1	Archaea	Halobacteriota	Syntropharchaeia	Alkanophagales	Methanospirareceae	JAGXOS01	JAGXOS01 sp023131215
RS_GCF_019669965.1	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus chikugoensis
GB_GCA_017609205.1	Archaea	Nanobdellota	Nanobdellia	Pacearchaeales	GW2011-AR1	ARS1301	ARS1301 sp017609205
GB_GCA_018396435.1	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeales	DTEX01	DTEX01	DTEX01 sp018396435
GB_GCA_024707015.1	Archaea	Thermoproteota	Methanomethylicia	Culexarchaeales	Culexarchaeaceae	Culexarchaeum	Culexarchaeum yellowstonense
RS_GCF_000336675.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus hamelinensis
GB_GCA_001742785.1	Archaea	Altiarchaeota	Altiarchaeia	IMC4	IMC4	IMC4	IMC4 sp001742785
GB_GCA_023128855.1	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	JAGMDE01	JAGMDE01 sp023128855
GB_GCA_028821675.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-P	MGIIb-P sp028821675
GB_GCA_003141855.1	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeales	Bathycorpusculaceae	Bathycorpusculum	Bathycorpusculum sp003141855
GB_GCA_003649665.1	Archaea	Thermoproteota	Thermoprotei	QMSL01	B3-G16	B3-G16	B3-G16 sp003649665
GB_GCA_937876055.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O1	MGIIb-O1 sp937876055
GB_GCA_011523185.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O1	MGIIb-O1 sp011523185
GB_GCA_023380795.1	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	Micrarchaeum_A	Micrarchaeum_A sp023380795
GB_GCA_004375715.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigynarchaeales	SOKP01	SOKP01	SOKP01 sp004375715
GB_GCA_027314465.1	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	CABMGC01	JAJZNA01	JAJZNA01 sp027314465
GB_GCA_013330215.1	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276	UBA12276 sp8261u
GB_GCA_018824925.1	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	JAHJFH01	JAHJFH01 sp018824925
GB_GCA_027491415.1	Archaea	Korarchaeota	Korarchaeia	Korarchaeales	Korarchaeaceae	DRBY01	DRBY01 sp027491415
RS_GCF_000017185.1	Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanococcaceae	Methanofervidicoccus	Methanofervidicoccus aeolicus
GB_GCA_030446015.1	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus sp030446015
RS_GCF_014889545.1	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermobacteraceae	Methanothermobacter	Methanothermobacter thermautotrophicus_A
GB_GCA_024654505.1	Archaea	Nanobdellota	Nanobdellia	Pacearchaeales	GW2011-AR1	JAGVXH01	JAGVXH01 sp024654505
GB_GCA_016176815.1	Archaea	Nanobdellota	Nanobdellia	Pacearchaeales	GW2011-AR1	JWKY01	JWKY01 sp016176815
RS_GCF_002177135.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronolimnobius	Natronolimnobius baerhuensis
RS_GCF_015062915.1	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanocatella	Methanocatella thaueri_B
GB_GCA_026394315.1	Archaea	Thermoproteota	Bathyarchaeia	40CM-2-53-6	RBG-13-38-9	JAPKYM01	JAPKYM01 sp026394315
GB_GCA_017609445.1	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	Aenigmatarchaeales	Aenigmatarchaeaceae	JAFCDY01	JAFCDY01 sp017609445
RS_GCF_023698535.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis	Halorientalis regularis
GB_GCA_964228815.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Poseidoniaceae	Poseidonia	Poseidonia sp964228815
GB_GCA_018658265.1	Archaea	Nanobdellota	Nanobdellia	SCGC-AAA011-G17	UBA489	JABIKK01	JABIKK01 sp018658265
RS_GCF_001484195.1	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus celericrescens
GB_GCA_026134085.1	Archaea	Halobacteriota	Syntropharchaeia	Alkanophagales	Methanospirareceae	Methanoxibalbensis	Methanoxibalbensis ujae
GB_GCA_002011155.2	Archaea	Halobacteriota	Archaeoglobi	Mnemosynellales	Mnemosynellaceae	Mnemosynella	Mnemosynella biddleae
GB_GCA_030697975.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	VHBM01	VHBM01 sp030697975
RS_GCF_000336875.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum californiense
GB_GCA_015522095.1	Archaea	SpSt-1190	SpSt-1190	SpSt-1190	SpSt-1190	WAMX01	WAMX01 sp015522095
GB_GCA_023229165.1	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanothrix sp023229165
GB_GCA_019058275.1	Archaea	Asgardarchaeota	Heimdallarchaeia	JABLTI01	JABLTI01	JABLTI01	JABLTI01 sp019058275
GB_GCA_937896695.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopelagicus	Nitrosopelagicus sp937896695
GB_GCA_028867615.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosotalea	Nitrosotalea sp028867615
GB_GCA_003663325.1	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	QMZP01	QMZT01	QMZT01	QMZT01 sp003663325
GB_GCA_030750665.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Poseidoniaceae	UBA226	UBA226 sp030750665
GB_GCA_028705545.1	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanoregula	Methanoregula sp028705545
GB_GCA_015063135.1	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Methanoprimaticola	Methanoprimaticola sp015063135
GB_GCA_036626435.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	SW-9-67-25	SW-9-67-25 sp036626435
GB_GCA_038998335.1	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14	SCSR01	JAVZHQ01	JAVZHQ01 sp038998335
GB_GCA_027339745.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	UBA183	UBA183	UBA183 sp027339745
GB_GCA_014240255.1	Archaea	Thermoplasmatota	Poseidoniia	MGIII	CG-Epi1	CG-Epi1	CG-Epi1 sp014240255
GB_GCA_015522195.1	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus	Geoglobus sp015522195
GB_GCA_013329565.1	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	UBA472	UBA472	UBA472 sp8940u
GB_GCA_036787775.1	Archaea	Nanobdellota	Nanobdellia	Pacearchaeales	GW2011-AR1	DAIQOR01	DAIQOR01 sp036787775
GB_GCA_023378865.1	Archaea	Nanobdellota	Nanobdellia	Parvarchaeales	Parvarchaeaceae	Parvarchaeum	Parvarchaeum sp023378865
GB_GCA_002897955.1	Archaea	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeales	BMS3B	BMS3B	BMS3B sp002897955
GB_GCA_041305785.1	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanoregula	Methanoregula sp041305785
GB_GCA_014728565.1	Archaea	Nanobdellota	Nanobdellia	Pacearchaeales	GW2011-AR1	WJLK01	WJLK01 sp014728565
GB_GCA_030266405.1	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	JAHKLT01	JAHKLT01 sp030266405
GB_GCA_028716945.1	Archaea	Nanobdellota	Nanobdellia	SCGC-AAA011-G17	JAFCDX01	JAQUOT01	JAQUOT01 sp028716945
GB_GCA_025059745.1	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Calditenuaceae	JANXDH01	JANXDH01 sp025059745
GB_GCA_003266065.1	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera sp003266065
GB_GCA_029881805.1	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeales	Bathycorpusculaceae	JAOULW01	JAOULW01 sp029881805
GB_GCA_014523665.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	TH5896	TH5896 sp014523665
GB_GCA_021811535.1	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	CABMGC01	JAKBQS01	JAKBQS01 sp021811535
