run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	base_count	fastq_ftp	fastq_md5
ERR3354482	SAMEA5662583	ERX3378989	PRJEB32764	9606	Homo sapiens	1315017319	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/002/ERR3354482/ERR3354482.fastq.gz	207ad46ecf8e4e3c3284db40698bfd23
ERR3354483	SAMEA5662561	ERX3378990	PRJEB32764	9606	Homo sapiens	526108073	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/003/ERR3354483/ERR3354483.fastq.gz	cf1c9322d20abdb64bb53d47d432592f
ERR3354484	SAMEA5662563	ERX3378991	PRJEB32764	9606	Homo sapiens	395994690	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/004/ERR3354484/ERR3354484.fastq.gz	2f0ae6b558378844a9b0d5bf8148c1ea
ERR3354485	SAMEA5662562	ERX3378992	PRJEB32764	9606	Homo sapiens	651447474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/005/ERR3354485/ERR3354485.fastq.gz	55d7e7ecfeb7dd41b1e2de3526f08ecb
ERR3354486	SAMEA5662565	ERX3378993	PRJEB32764	9606	Homo sapiens	856561345	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/006/ERR3354486/ERR3354486.fastq.gz	67cc85274529517cfa61c41851d054dc
ERR3354487	SAMEA5662571	ERX3378994	PRJEB32764	9606	Homo sapiens	756838063	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/007/ERR3354487/ERR3354487.fastq.gz	9f8b50c5ef9c682d980252aa34af242a
ERR3354488	SAMEA5662567	ERX3378995	PRJEB32764	9606	Homo sapiens	342769336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/008/ERR3354488/ERR3354488.fastq.gz	4633e7e3ce065f04eec73651713ff552
ERR3354489	SAMEA5662573	ERX3378996	PRJEB32764	9606	Homo sapiens	476183442	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/009/ERR3354489/ERR3354489.fastq.gz	79690872e94e2b62c88d401d8b1b21a4
ERR3354490	SAMEA5662569	ERX3378997	PRJEB32764	9606	Homo sapiens	807072686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/000/ERR3354490/ERR3354490.fastq.gz	c703e275bfc090bb0fc17b689287cbc5
ERR3354491	SAMEA5662578	ERX3378998	PRJEB32764	9606	Homo sapiens	599861926	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/001/ERR3354491/ERR3354491.fastq.gz	561b40ad2fb8c675d6edae773b4f1929
ERR3354492	SAMEA5662564	ERX3378999	PRJEB32764	9606	Homo sapiens	620384789	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/002/ERR3354492/ERR3354492.fastq.gz	b82dbd0ec7f4728463e675bef96ba792
ERR3354493	SAMEA5662566	ERX3379000	PRJEB32764	9606	Homo sapiens	847111812	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/003/ERR3354493/ERR3354493.fastq.gz	5ed31391df7de913ece0821153552959
ERR3354494	SAMEA5662568	ERX3379001	PRJEB32764	9606	Homo sapiens	222681490	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/004/ERR3354494/ERR3354494.fastq.gz	2c2ed9f37581f25bea5810304a80ed03
ERR3354495	SAMEA5662574	ERX3379002	PRJEB32764	9606	Homo sapiens	1430593692	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/005/ERR3354495/ERR3354495.fastq.gz	dfa01d28e8a9700b07f43a3beef9ea19
ERR3354496	SAMEA5662570	ERX3379003	PRJEB32764	9606	Homo sapiens	426819007	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/006/ERR3354496/ERR3354496.fastq.gz	130f1f5b2535691efc837b1efe1986db
ERR3354497	SAMEA5662576	ERX3379004	PRJEB32764	9606	Homo sapiens	58139265	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/007/ERR3354497/ERR3354497.fastq.gz	91617bf4ddd1c07d07efd4535f6fe05e
ERR3354498	SAMEA5662577	ERX3379005	PRJEB32764	9606	Homo sapiens	400531252	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/008/ERR3354498/ERR3354498.fastq.gz	2773a7428c9ce274fcbfa5ccb562b3a6
ERR3354499	SAMEA5662579	ERX3379006	PRJEB32764	9606	Homo sapiens	262195057	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/009/ERR3354499/ERR3354499.fastq.gz	d7aec03bbf7d90080be759d43c078d96
ERR3354500	SAMEA5662586	ERX3379007	PRJEB32764	9606	Homo sapiens	298087144	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/000/ERR3354500/ERR3354500.fastq.gz	17aa6db15121ab65d9ed54bdb70db812
ERR3354501	SAMEA5662585	ERX3379008	PRJEB32764	9606	Homo sapiens	102901766	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/001/ERR3354501/ERR3354501.fastq.gz	cbd5be58503c58540bbf84cbd2ddc4a7
ERR3354502	SAMEA5662581	ERX3379009	PRJEB32764	9606	Homo sapiens	1514125421	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/002/ERR3354502/ERR3354502.fastq.gz	ace1aa56a8c440c4f7238407ada79631
ERR3354503	SAMEA5662580	ERX3379010	PRJEB32764	9606	Homo sapiens	1501251055	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/003/ERR3354503/ERR3354503.fastq.gz	d52c83b40a5a063eb6c15827b9720160
ERR3354504	SAMEA5662584	ERX3379011	PRJEB32764	9606	Homo sapiens	1305260847	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/004/ERR3354504/ERR3354504.fastq.gz	2629a34fafd64ba3ebf89baa8773152c
ERR3354505	SAMEA5662587	ERX3379012	PRJEB32764	9606	Homo sapiens	2050728008	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/005/ERR3354505/ERR3354505.fastq.gz	6ef320b18d52f6826d70ef43a97e157b
ERR3354506	SAMEA5662575	ERX3379013	PRJEB32764	9606	Homo sapiens	495456182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/006/ERR3354506/ERR3354506.fastq.gz	b32aafd9535a91cf37aeea4023410778
ERR3354507	SAMEA5662572	ERX3379014	PRJEB32764	9606	Homo sapiens	209431294	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/007/ERR3354507/ERR3354507.fastq.gz	5bf1492b10ace17db636c1be2fddf3da
ERR3354508	SAMEA5662589	ERX3379015	PRJEB32764	9606	Homo sapiens	243895402	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/008/ERR3354508/ERR3354508.fastq.gz	9548b7eb463de28c56ae1109b40fe3a6
ERR3354509	SAMEA5662588	ERX3379016	PRJEB32764	9606	Homo sapiens	263296901	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/009/ERR3354509/ERR3354509.fastq.gz	31e043d2c122ecfb94da747ff0d57335
ERR3354510	SAMEA5662591	ERX3379017	PRJEB32764	9606	Homo sapiens	62056315	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/000/ERR3354510/ERR3354510.fastq.gz	6768c3214f56e158751c5f99afa8f134
ERR3354511	SAMEA5662590	ERX3379018	PRJEB32764	9606	Homo sapiens	78534779	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/001/ERR3354511/ERR3354511.fastq.gz	98e498a00e73c099c7894491e4843ca2
ERR3354512	SAMEA5662582	ERX3379019	PRJEB32764	9606	Homo sapiens	861365751	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/002/ERR3354512/ERR3354512.fastq.gz	d10fa1ae16a8a59ac57dcb9e854b0661
ERR2620019	SAMEA4720739	ERX2637716	PRJEB27220	9606	Homo sapiens	39468861	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/009/ERR2620019/ERR2620019.fastq.gz	cde93388b23b692eb09cbe904a7a20f6
ERR2620020	SAMEA4720740	ERX2637717	PRJEB27220	9606	Homo sapiens	13938699038	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/000/ERR2620020/ERR2620020.fastq.gz	7ad3ed0f1049adb8744f6a5c1871d060
ERR2620021	SAMEA4720741	ERX2637718	PRJEB27220	9606	Homo sapiens	3981753092	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/001/ERR2620021/ERR2620021.fastq.gz	2fad42d0d72318ca569fcab61fb54d68
ERR2620022	SAMEA4720742	ERX2637719	PRJEB27220	9606	Homo sapiens	802242691	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/002/ERR2620022/ERR2620022.fastq.gz	9c5497b10ed8ba5b305fac37db5e828f
ERR2620023	SAMEA4720743	ERX2637720	PRJEB27220	9606	Homo sapiens	462897848	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/003/ERR2620023/ERR2620023.fastq.gz	f413907095493046c1df18f269f57e16
ERR2620024	SAMEA4720744	ERX2637721	PRJEB27220	9606	Homo sapiens	315504782	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/004/ERR2620024/ERR2620024.fastq.gz	f1733dd126ae3695436285876cec42df
ERR2620025	SAMEA4720745	ERX2637722	PRJEB27220	9606	Homo sapiens	287163195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/005/ERR2620025/ERR2620025.fastq.gz	219455b93163faa83e6ddc21ed34bfa6
ERR2620026	SAMEA4720746	ERX2637723	PRJEB27220	9606	Homo sapiens	11606078187	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/006/ERR2620026/ERR2620026.fastq.gz	92f34e175fdb3ea875822445d57abab5
ERR2620027	SAMEA4720747	ERX2637724	PRJEB27220	9606	Homo sapiens	8466605201	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/007/ERR2620027/ERR2620027.fastq.gz	02d1a535d43c578fd15343e8043ad414
ERR2620028	SAMEA4720748	ERX2637725	PRJEB27220	9606	Homo sapiens	708512779	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/008/ERR2620028/ERR2620028.fastq.gz	cba76927333dc0cdcf6afa3bcab57944
ERR2620029	SAMEA4720749	ERX2637726	PRJEB27220	9606	Homo sapiens	786186916	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/009/ERR2620029/ERR2620029.fastq.gz	b626c42609ca3d552e262bdb89d751a2
ERR2620030	SAMEA4720750	ERX2637727	PRJEB27220	9606	Homo sapiens	12982705228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/000/ERR2620030/ERR2620030.fastq.gz	853caf5c0020168459f13f7068fa7bc7
ERR2620031	SAMEA4720751	ERX2637728	PRJEB27220	9606	Homo sapiens	2337312156	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/001/ERR2620031/ERR2620031.fastq.gz	fdf48441f7c5c3d618038cd17b023e0b
ERR2620032	SAMEA4720752	ERX2637729	PRJEB27220	9606	Homo sapiens	996161147	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/002/ERR2620032/ERR2620032.fastq.gz	f3562650e4f86ae02048cf18dd132989
ERR2620033	SAMEA4720753	ERX2637730	PRJEB27220	9606	Homo sapiens	347709744	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/003/ERR2620033/ERR2620033.fastq.gz	af99254fb6ceb1b14a0248d3f0f089a3
ERR2620034	SAMEA4720754	ERX2637731	PRJEB27220	9606	Homo sapiens	5290222695	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/004/ERR2620034/ERR2620034.fastq.gz	e6ed411b676752bb5f120ca546d1a571
ERR2307907	SAMEA104600811	ERX2359199	PRJEB24938	9606	Homo sapiens	5363525	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/007/ERR2307907/ERR2307907.fastq.gz	4fd5558ea6d9aa56c8e955de17522f41
ERR2307908	SAMEA104600812	ERX2359200	PRJEB24938	9606	Homo sapiens	5923535	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/008/ERR2307908/ERR2307908.fastq.gz	5b71a40790b99ca5257a52f2451e3067
ERR2307909	SAMEA104600813	ERX2359201	PRJEB24938	9606	Homo sapiens	4800740	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/009/ERR2307909/ERR2307909.fastq.gz	a0910bf9dec694138d372f4ee5eaba47
ERR2307910	SAMEA104600814	ERX2359202	PRJEB24938	9606	Homo sapiens	1101550177	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/000/ERR2307910/ERR2307910.fastq.gz	0977abf146e6ab4f9a0d1831f53657d1
ERR2307911	SAMEA104600815	ERX2359203	PRJEB24938	9606	Homo sapiens	2237448056	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/001/ERR2307911/ERR2307911.fastq.gz	157faad78ee5e1a62d160a4a9b980c9e
ERR2307912	SAMEA104600816	ERX2359204	PRJEB24938	9606	Homo sapiens	1842394190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/002/ERR2307912/ERR2307912.fastq.gz	2b8c89bdac8d7d4ef2953f7a863ec598
ERR2307913	SAMEA104600817	ERX2359205	PRJEB24938	9606	Homo sapiens	651677768	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/003/ERR2307913/ERR2307913.fastq.gz	1b5ac4aec96138e0a54c0523bac517ad
ERR2307914	SAMEA104600818	ERX2359206	PRJEB24938	9606	Homo sapiens	922141112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/004/ERR2307914/ERR2307914.fastq.gz	b5e64ff8f4533e8c7232369af0c7377b
ERR2307915	SAMEA104600819	ERX2359207	PRJEB24938	9606	Homo sapiens	800769421	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/005/ERR2307915/ERR2307915.fastq.gz	7140f49cb5b98157b65db48adfb2a983
ERR2307916	SAMEA104600820	ERX2359208	PRJEB24938	9606	Homo sapiens	1403968696	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/006/ERR2307916/ERR2307916.fastq.gz	6d17ae646f9cc02052101257fd4551dd
ERR2307917	SAMEA104600821	ERX2359209	PRJEB24938	9606	Homo sapiens	2155306387	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/007/ERR2307917/ERR2307917.fastq.gz	ef93bd4b252366c7174cb6774742d51e
ERR2307918	SAMEA104600822	ERX2359210	PRJEB24938	9606	Homo sapiens	386562686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/008/ERR2307918/ERR2307918.fastq.gz	e5c9d6678445238145d0499af79d58f4
ERR2307919	SAMEA104600823	ERX2359211	PRJEB24938	9606	Homo sapiens	501719108	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/009/ERR2307919/ERR2307919.fastq.gz	a3023800e6a98fe09493a419d4620943
ERR2307920	SAMEA104600824	ERX2359212	PRJEB24938	9606	Homo sapiens	13256422	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/000/ERR2307920/ERR2307920.fastq.gz	9bc92f1dc4c1e823a4977da174e43088
ERR2307921	SAMEA104600825	ERX2359213	PRJEB24938	9606	Homo sapiens	121872662	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/001/ERR2307921/ERR2307921.fastq.gz	b7a23f6cb93a6445424e27fba572b622
ERR2307922	SAMEA104600826	ERX2359214	PRJEB24938	9606	Homo sapiens	128310709	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/002/ERR2307922/ERR2307922.fastq.gz	be5141117bff724642ab0dbaff64409b
ERR2307923	SAMEA104600827	ERX2359215	PRJEB24938	9606	Homo sapiens	95466560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/003/ERR2307923/ERR2307923.fastq.gz	d852a27dcddc7412edda3927f3ff39f7
ERR2307924	SAMEA104600828	ERX2359216	PRJEB24938	9606	Homo sapiens	587020150	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/004/ERR2307924/ERR2307924.fastq.gz	26ca429416bf92392c4c3eb320cea27d
ERR2307925	SAMEA104600829	ERX2359217	PRJEB24938	9606	Homo sapiens	571073609	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/005/ERR2307925/ERR2307925.fastq.gz	730f69097ef91671044cfebbbe04b9e5
ERR2307926	SAMEA104600830	ERX2359218	PRJEB24938	9606	Homo sapiens	546642205	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/006/ERR2307926/ERR2307926.fastq.gz	da5ccdd56e605aabb57d123c7d04eab3
ERR2307927	SAMEA104600831	ERX2359219	PRJEB24938	9606	Homo sapiens	386099641	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/007/ERR2307927/ERR2307927.fastq.gz	7b1438832cbd96740beeb9e1a15158e6
ERR2307928	SAMEA104600814	ERX2359220	PRJEB24938	9606	Homo sapiens	2858109	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/008/ERR2307928/ERR2307928.fastq.gz	916c633798c51ba5a21bd086e6c4b7bb
ERR2307929	SAMEA104600816	ERX2359221	PRJEB24938	9606	Homo sapiens	4261786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/009/ERR2307929/ERR2307929.fastq.gz	4c4a31356e299bb04d1fa782887f1509
ERR2307930	SAMEA104600817	ERX2359222	PRJEB24938	9606	Homo sapiens	6050731	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/000/ERR2307930/ERR2307930.fastq.gz	8d0a875aff9457bcda5d142627cb328d
ERR2307931	SAMEA104600818	ERX2359223	PRJEB24938	9606	Homo sapiens	8193803	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/001/ERR2307931/ERR2307931.fastq.gz	1b637b006f613eb6797868451cad8cf4
ERR2307932	SAMEA104600819	ERX2359224	PRJEB24938	9606	Homo sapiens	3933839	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/002/ERR2307932/ERR2307932.fastq.gz	b20872ba86b48184cae861266b9ff660
ERR2307933	SAMEA104600822	ERX2359225	PRJEB24938	9606	Homo sapiens	1061779	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/003/ERR2307933/ERR2307933.fastq.gz	68785c6124164afcac0a6e3e2f37e782
ERR2307934	SAMEA104600824	ERX2359226	PRJEB24938	9606	Homo sapiens	267147	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/004/ERR2307934/ERR2307934.fastq.gz	ad71b12cb21bcc7e3dd5ac1c2aeee5c8
ERR2307935	SAMEA104600825	ERX2359227	PRJEB24938	9606	Homo sapiens	277582	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/005/ERR2307935/ERR2307935.fastq.gz	bc9245d1708251ad8fd3969ac7d3ecd2
ERR2307936	SAMEA104600826	ERX2359228	PRJEB24938	9606	Homo sapiens	275013	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/006/ERR2307936/ERR2307936.fastq.gz	cf607a659b7d0588bcd20cb12bbae2ec
ERR2307937	SAMEA104600827	ERX2359229	PRJEB24938	9606	Homo sapiens	241859	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/007/ERR2307937/ERR2307937.fastq.gz	fa6d8d0a01f5aa4422caf1de2136524e
ERR2307938	SAMEA104600828	ERX2359230	PRJEB24938	9606	Homo sapiens	4719646	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/008/ERR2307938/ERR2307938.fastq.gz	42142e2cd8885b8f3254e5e4fa8c5f97
ERR2307939	SAMEA104600829	ERX2359231	PRJEB24938	9606	Homo sapiens	5114051	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/009/ERR2307939/ERR2307939.fastq.gz	6ed4ec532e66f4d88fae61ca4578afb0
ERR2307940	SAMEA104600830	ERX2359232	PRJEB24938	9606	Homo sapiens	5733231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/000/ERR2307940/ERR2307940.fastq.gz	740eb03eb7a77497433ff91d49067ef7
ERR2307941	SAMEA104600831	ERX2359233	PRJEB24938	9606	Homo sapiens	4033565	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/001/ERR2307941/ERR2307941.fastq.gz	e011a68ec6876bd74cdc5ed2844554ab
ERR4674782	SAMEA7422989	ERX4596758	PRJEB40109	9606	Homo sapiens	10664719	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/002/ERR4674782/ERR4674782.fastq.gz	eb2805d43300312edf3f827b452db828
ERR4674783	SAMEA7422990	ERX4596759	PRJEB40109	9606	Homo sapiens	11622274	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/003/ERR4674783/ERR4674783.fastq.gz	cb98db1c578d5555c41e051d283b346b
ERR4674784	SAMEA7422991	ERX4596760	PRJEB40109	9606	Homo sapiens	310347645	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/004/ERR4674784/ERR4674784.fastq.gz	698209e421454ee0a8a1dfdd3962667f
ERR4674785	SAMEA7422992	ERX4596761	PRJEB40109	9606	Homo sapiens	342329431	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/005/ERR4674785/ERR4674785.fastq.gz	f7d946591cd2805c017aabe3a2fe3600
ERR4674786	SAMEA7422993	ERX4596762	PRJEB40109	9606	Homo sapiens	525469188	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/006/ERR4674786/ERR4674786.fastq.gz	0aeacc1ebe21d7ecd14794b0f1566fd0
ERR4674787	SAMEA7422994	ERX4596763	PRJEB40109	9606	Homo sapiens	870854400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/007/ERR4674787/ERR4674787.fastq.gz	14eaccb3ff6cda1435dc558eb5750cb8
ERR4674788	SAMEA7422995	ERX4596764	PRJEB40109	9606	Homo sapiens	16664413	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/008/ERR4674788/ERR4674788.fastq.gz	8a7ad67fde947e14cfe23afc1ec68f48
ERR4674789	SAMEA7422996	ERX4596765	PRJEB40109	9606	Homo sapiens	291979270	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/009/ERR4674789/ERR4674789.fastq.gz	ede485509e59b349d684a64b9641e760
ERR4674790	SAMEA7422997	ERX4596766	PRJEB40109	9606	Homo sapiens	114186015	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/000/ERR4674790/ERR4674790.fastq.gz	2715503feeb4101ee9b8035f25425611
ERR4674791	SAMEA7422998	ERX4596767	PRJEB40109	9606	Homo sapiens	5956622	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/001/ERR4674791/ERR4674791.fastq.gz	f482b6fd956cbb1881b2e302b0736839
ERR4674792	SAMEA7422999	ERX4596768	PRJEB40109	9606	Homo sapiens	1347833122	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/002/ERR4674792/ERR4674792.fastq.gz	2dc46ce2f1ff1a8ae37280a8efa0c797
ERR4674793	SAMEA7423000	ERX4596769	PRJEB40109	9606	Homo sapiens	9691938	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/003/ERR4674793/ERR4674793.fastq.gz	c2603b6a89ea0379ae2e103b83a465b3
ERR4674794	SAMEA7422989	ERX4596770	PRJEB40109	9606	Homo sapiens	75969	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/004/ERR4674794/ERR4674794.fastq.gz	44d4f466a649147135ad25e3f99d69f4
ERR4674795	SAMEA7422990	ERX4596771	PRJEB40109	9606	Homo sapiens	548359	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/005/ERR4674795/ERR4674795.fastq.gz	a4b3a3db9d154fcaae5d63fe57ef58cd
ERR4674796	SAMEA7422991	ERX4596772	PRJEB40109	9606	Homo sapiens	1525723	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/006/ERR4674796/ERR4674796.fastq.gz	a26f80da49e096e7415bb64e9783f12b
ERR4674797	SAMEA7422992	ERX4596773	PRJEB40109	9606	Homo sapiens	1681218	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/007/ERR4674797/ERR4674797.fastq.gz	a7ee13a17db0f55bf697030cdf647885
ERR4674798	SAMEA7422993	ERX4596774	PRJEB40109	9606	Homo sapiens	3201379	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/008/ERR4674798/ERR4674798.fastq.gz	20f285fcf946f286739cd88df3d15b0d
ERR4674799	SAMEA7422994	ERX4596775	PRJEB40109	9606	Homo sapiens	7914822	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/009/ERR4674799/ERR4674799.fastq.gz	7d4a463d07df1df76fec86b10b8ffb03
ERR4674800	SAMEA7422995	ERX4596776	PRJEB40109	9606	Homo sapiens	28398	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/000/ERR4674800/ERR4674800.fastq.gz	846342afb371b132cb3a119e052699a7
ERR4674801	SAMEA7422996	ERX4596777	PRJEB40109	9606	Homo sapiens	488537	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/001/ERR4674801/ERR4674801.fastq.gz	2d9444f58cb6be11e80b8a0dd67f7fa5
ERR4674802	SAMEA7422997	ERX4596778	PRJEB40109	9606	Homo sapiens	257021	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/002/ERR4674802/ERR4674802.fastq.gz	3032fa385eade409883cc26df1178c7a
ERR4674803	SAMEA7422998	ERX4596779	PRJEB40109	9606	Homo sapiens	9245	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/003/ERR4674803/ERR4674803.fastq.gz	2a4959dc6e1a080136613fa9af1312bc
ERR4674804	SAMEA7422999	ERX4596780	PRJEB40109	9606	Homo sapiens	3181158	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/004/ERR4674804/ERR4674804.fastq.gz	83467160eccdd982c8112b9fcd61280e
ERR4674805	SAMEA7423000	ERX4596781	PRJEB40109	9606	Homo sapiens	29520	ftp.sra.ebi.ac.uk/vol1/fastq/ERR467/005/ERR4674805/ERR4674805.fastq.gz	cde84353656ff01d60fc3c7e05f5495e
ERR2111936	SAMEA104281217	ERX2169180	PRJEB86458	9606	Homo sapiens	3739319896	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/006/ERR2111936/ERR2111936.fastq.gz	473d9ec016357557fefc37e86fc789b9
ERR2111937	SAMEA104281218	ERX2169181	PRJEB86458	9606	Homo sapiens	2603233784	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/007/ERR2111937/ERR2111937.fastq.gz	fa1d77bcbfe2817e5ca14c6a495b6dca
ERR2111938	SAMEA104281218	ERX2169182	PRJEB86458	9606	Homo sapiens	6385505067	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/008/ERR2111938/ERR2111938.fastq.gz	0103568a3cdc0cca117af36f4468bec0
ERR2111939	SAMEA104281218	ERX2169183	PRJEB86458	9606	Homo sapiens	6394963918	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/009/ERR2111939/ERR2111939.fastq.gz	c64824c1902b601a0835bae78081f272
ERR2111940	SAMEA104281218	ERX2169184	PRJEB86458	9606	Homo sapiens	6405385484	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/000/ERR2111940/ERR2111940.fastq.gz	c4130c3284e4afeef33f69244bd928fa
ERR2111941	SAMEA104281218	ERX2169185	PRJEB86458	9606	Homo sapiens	1888685450	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/001/ERR2111941/ERR2111941.fastq.gz	693e0a6849cea66efa8bb72a334e99f9
ERR2111942	SAMEA104281218	ERX2169186	PRJEB86458	9606	Homo sapiens	1895857967	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/002/ERR2111942/ERR2111942.fastq.gz	62fdb2967d665c2e3325bb9da3c3caef
ERR2111943	SAMEA104281218	ERX2169187	PRJEB86458	9606	Homo sapiens	1905937628	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/003/ERR2111943/ERR2111943.fastq.gz	d22513bde6d2c7fbeda59101751dfec8
ERR2111944	SAMEA104281220	ERX2169188	PRJEB86458	9606	Homo sapiens	2699909797	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/004/ERR2111944/ERR2111944.fastq.gz	2268b27c14ddaa9fe8ba1994dca180b7
