SRR31320103
SRR31320106
SRR31320107
SRR31320108
SRR31320110
SRR31320111
SRR31320113
SRR31320115
SRR31320116
SRR31320123
SRR31320124
SRR31320125
SRR31320132
SRR31320134
SRR31320135
SRR31320136
SRR31320137
SRR31320138
SRR31320139
SRR31320140
SRR31320141
SRR31320143
SRR31320144
SRR31320145
SRR31320146
SRR31320147
SRR31320148
SRR31320149
SRR31320150
SRR31320152
SRR31320153
SRR31320154
SRR31320155
SRR31320156
SRR31320157
SRR31320158
SRR31320159
SRR31320160
SRR31320161
SRR31320162
SRR31320163
SRR31320165
SRR31320166
SRR31320167
SRR31320169
SRR31320171
SRR31320172
SRR31320173
SRR31320174
SRR31320175
SRR31320176
SRR31320177
SRR31320178
SRR31320180
SRR31320181
SRR31320182
SRR31320183
SRR31320184
SRR31320185
SRR31320186
SRR31320187
SRR31320191
SRR31320192
SRR31320193
SRR31320196
SRR31320197
SRR31320199
SRR31320200
SRR31320202
SRR31320203
SRR31320204
SRR31320205
SRR31320206
SRR31320207
SRR31320208
SRR31320209
SRR31320210
SRR31320211
SRR31320212
SRR31320213
SRR31320214
SRR31320215
SRR31320216
SRR31320217
SRR31320218
SRR31320219
SRR31320220
SRR31320221
SRR31320222
SRR31320223
SRR31320224
SRR31320226
SRR31320229
SRR31320230
SRR31320233
SRR31320234
SRR31320235
SRR31320238
SRR31320239
SRR31320240
SRR31320241
SRR31320242
SRR31320243
SRR31320244
SRR31320245
SRR31320246
SRR31320248
SRR31320249
SRR31320250
SRR31320251
SRR31320253
SRR31320254
SRR31320255
SRR31320256
SRR31320257
SRR31320259
SRR31320260
SRR31320264
SRR31320265
SRR31320266
SRR31320267
SRR31320268
SRR31320269
SRR31320270
SRR31320271
SRR31320273
SRR31320274
SRR31320275
SRR31320276
SRR31320277
SRR31320278
SRR31320279
SRR31320280
SRR31320281
SRR31320282
SRR31320283
SRR31320284
SRR31320285
SRR31320286
SRR31320287
SRR31320288
SRR31320289
SRR31320290
SRR31320291
SRR31320292
SRR31320293
SRR31320294
SRR31320295
SRR31320296
SRR31320297
SRR31320298
SRR31320299
SRR31320300
SRR31320301
SRR31320302
SRR31320304
SRR31320305
SRR31320306
SRR31320307
SRR31320308
SRR31320309
SRR31320310
SRR31320314
SRR31320316
SRR31320317
SRR31320318
SRR31320320
SRR31320321
SRR31320322
SRR31320323
SRR31320324
SRR31320325
SRR31320326
SRR31320328
SRR31320329
SRR31320330
SRR31320331
SRR31320332
SRR31320334
SRR31320336
SRR31320337
SRR31320338
SRR31320339
SRR31320340
SRR31320341
SRR31320342
SRR31320343
SRR31320344
SRR31320345
SRR31320346
SRR31320347
SRR31320348
SRR31320349
SRR31320350
SRR31320352
SRR31320353
SRR31320354
SRR31320355
SRR31320356
SRR31320357
SRR31320360
SRR31320361
SRR31320362
SRR31320363
SRR31320364
SRR31320365
SRR31320366
SRR31320368
SRR31320369
SRR31320370
SRR31320372
SRR31320374
SRR31320377
SRR31320378
SRR31320379
SRR31320380
SRR31320382
SRR31320383
SRR31320384
SRR31320386
SRR31320387
SRR31320388
SRR31320389
SRR31320390
SRR31320391
SRR31320394
SRR31320395
SRR31320397
SRR31320398
SRR31320399
SRR31320401
SRR31320403
SRR31320404
SRR31320409
SRR31320410
SRR31320411
SRR31320412
SRR31320413
SRR31320414
SRR31320417
SRR31320419
SRR31320420
SRR31320422
SRR31320423
SRR31320424
SRR31320425
SRR31320426
SRR31320427
SRR31320428
SRR31320429
SRR31320430
SRR31320432
SRR31320433
SRR31320434
SRR31320435
SRR31320438
SRR31320439
SRR31320440
SRR31320441
SRR31320442
SRR31320443
SRR31320444
SRR31320445
SRR31320448
SRR31320449
SRR31320450
SRR31320452
SRR31320453
SRR31320455
SRR31320456
SRR31320457
SRR31320458
SRR31320459
SRR31320460
SRR31320461
SRR31320462
SRR31320463
SRR31320464
SRR31320465
SRR31320466
SRR31320467
SRR31320468
SRR31320469
SRR31320470
SRR31320471
SRR31320472
SRR31320473
SRR31320474
SRR31320475
SRR31320476
SRR31320477
SRR31320478
SRR31320479
SRR31320480
SRR31320481
SRR31320484
SRR31320485
SRR31320486
SRR31320487
SRR31320489
SRR31320490
SRR31320491
SRR34590711
SRR34590712
SRR34590713
SRR34590714
SRR34590715
SRR34590716
SRR34590717
SRR34590718
SRR34590719
SRR34590720
SRR34590721
SRR34590722
SRR34590723
SRR34590726
SRR34590727
SRR34590728
SRR34590729
SRR34590730
SRR34590731
SRR34590732
SRR34590733
SRR34590734
SRR34590737
SRR34590739
SRR34590740
SRR34590741
SRR34590742
SRR34590743
SRR34590744
SRR34590749
SRR34590750
SRR34590751
SRR34590752
SRR34590753
SRR34590755
SRR34590757
SRR34590758
SRR34590759
SRR34590761
SRR34590762
SRR34590763
SRR34590764
SRR34636769
SRR34636770
SRR34636771
SRR34636772
SRR34636773
SRR34636774
SRR34636775
SRR34636776
SRR34636777
SRR34636778
SRR34636779
SRR34636780
SRR34636781
SRR34636782
SRR34636783
SRR34636784
SRR34636785
SRR34636786
SRR34636787
SRR34636789
SRR34663732
SRR34663733
SRR34663735
SRR34663736
SRR34663737
SRR34663738
SRR34663739
SRR34663740
SRR34663741
SRR34663742
SRR34663743
SRR34692627
SRR34692628
SRR34692629
SRR34692630
SRR34692631
SRR34701517
SRR34701518
SRR34701519
SRR34718342
SRR34718343
SRR34718344
SRR34718345
SRR34718346
SRR34718347
SRR34718348
SRR34718349
SRR34718350
SRR34718351
SRR34718352
SRR34718353
SRR34718354
SRR34718355
SRR34718356
SRR34718357
