BioSampleAccn	Description	Submitter	Collected_by	Geographic_location
SAMN12792938	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792939	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792940	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792941	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792942	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792943	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792944	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792945	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792946	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792947	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792948	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792949	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792950	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792951	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792952	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792953	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792954	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792955	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792956	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792957	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792958	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792959	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792960	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792961	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792962	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792963	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792964	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792965	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792966	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792967	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792968	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
SAMN12792969	Metagenome or environmental sample from upper respiratory tract metagenome	Shenzhen Children's Hospital	Shenzhen Children's Hospital	China: Shenzhen
