BioSampleAccn	Description	Submitter	Collected_by	Geographic_location
SAMN41433556	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433557	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433558	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433559	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433560	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433561	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433562	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433563	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433564	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433565	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433566	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433567	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433568	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433569	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433570	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433571	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433572	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433573	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433574	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433575	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433576	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433577	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433578	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433579	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433580	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433581	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433582	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433583	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433584	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433585	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433586	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433587	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433588	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433589	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433590	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433591	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433592	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433593	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433594	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433595	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433596	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433597	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433598	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433599	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433600	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433601	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433602	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
SAMN41433603	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Qi Chen, Suzhou University	China: Suzhou
