BioSampleAccn	Description	Submitter	Collected_by	Geographic_location
SAMN41433504	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433505	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433506	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433507	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433508	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433509	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433510	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433511	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433512	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433513	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433514	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433515	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433516	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433517	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433518	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433519	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433520	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433521	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433522	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433523	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433524	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433525	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433526	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433527	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433528	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433529	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433530	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433531	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433532	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433533	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433534	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433535	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433536	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433537	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433538	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433539	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433540	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433541	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433542	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433543	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433544	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433545	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433546	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433547	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433548	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433549	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433550	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433551	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433552	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433553	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433554	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
SAMN41433555	Pathogen: clinical or host-associated sample from Acinetobacter baumannii	Soochow University	Shengke Wang, Wenzhou Medical University	China: Wenzhou
