BioSampleAccn	Description	Submitter	Collected_by	Geographic_location
SAMN46705586	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705587	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705588	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705589	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705590	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705591	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705592	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705593	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705594	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705595	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705596	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705597	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705598	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705599	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705600	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705601	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705602	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705603	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705604	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705605	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705606	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705607	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705608	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705609	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705610	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705611	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705612	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705613	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705614	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705615	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705616	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705617	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705618	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705619	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705620	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705621	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705622	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705623	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705624	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705625	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705626	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705627	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705628	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705629	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705630	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705631	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705632	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705633	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705634	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705635	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705636	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705637	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705638	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705639	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705640	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705641	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705642	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705643	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705644	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705645	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705646	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705647	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705648	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705649	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705650	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705651	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705652	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705653	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705654	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705655	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705656	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705657	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705658	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705659	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705660	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705661	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705662	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705663	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705664	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705665	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705666	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705667	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705668	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705669	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705670	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705671	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705672	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705673	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705674	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705675	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705676	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705677	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705678	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705679	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705680	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705681	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705682	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705683	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705684	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705685	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705686	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705687	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705688	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705689	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705690	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705691	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705692	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705693	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705694	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705695	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705696	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705697	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705698	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705699	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705700	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705701	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705702	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705703	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705704	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705705	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705706	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705707	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705708	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705709	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705710	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705711	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705712	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705713	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705714	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705715	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705716	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705717	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705718	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705719	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705720	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705721	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705722	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705723	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705724	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705725	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705726	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705727	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
SAMN46705728	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Beijing Children's Hospital, Capital Medical University	China:Beijing
