BioSampleAccn	Description	Submitter	Collected_by	Geographic_location
SAMN46705571	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705572	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705573	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705574	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705575	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705576	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705577	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705578	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705579	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705580	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705581	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705582	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705583	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705584	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
SAMN46705585	Pathogen: clinical or host-associated sample from Mycoplasmoides pneumoniae	Soochow University	Shanghai Children's Hopital, School of Medicine, Shanghai Jiao Tong University	China:Shanghai
